우편번호,위도,경도,평균_크기,평균_변환_전세(만원),지역구분코드,오피스텔비율,총거래수량,월세_비율(%),신축_비율(%),버스정류장,미술관 & 전시관,자전거대여소,헬스클럽,성당,병원,공연장,공원,영화관,지하철역,동물병원,뷰티케어,코인노래방,도서관,교회,대형마트,공공체육시설,카페 & 디저트,경찰서,생활용품점,술집,쇼핑센터,슈퍼마켓,약국,반찬가게 & 밀키트,편의점,은행,코인세탁방,요가,크로스핏,ATM,음식점,우체국,PC방,필라테스,주민센터,절
3767,37.557854,126.9483592,22.2382716,14162.2575,1,0.37037037,81,87.65432099,1.234567901,32,3,3,13,0,48,0,0,0,1,5,1,5,0,15,0,0,172,1,2,21,0,9,20,3,27,3,6,1,0,14,176,1,8,20,0,0
3777,37.55809127,126.9395533,19.00241379,19643.10345,1,0.74137931,58,93.10344828,74.13793103,40,1,12,21,0,85,5,1,2,2,3,6,19,0,22,1,0,248,1,3,126,2,4,27,2,47,7,8,1,4,32,304,2,18,14,4,2
3778,37.55764159,126.940311,25.9927027,13879.30888,1,0.0,37,86.48648649,24.32432432,35,1,11,20,0,85,5,1,2,3,3,7,19,0,22,1,0,260,1,3,122,2,5,27,2,49,6,10,1,1,28,308,2,19,16,4,2
3779,37.5562682,126.9377737,27.3888,17705.14286,1,1.0,50,88.0,14.0,41,2,14,23,0,107,7,1,1,2,3,7,15,0,23,1,0,245,1,3,140,2,7,29,2,50,8,9,0,4,35,330,1,16,10,4,3
3780,37.55695029,126.9408043,26.84977528,19985.79454,1,0.97752809,89,76.40449438,73.03370787,39,3,12,21,0,94,5,1,2,3,3,6,19,0,24,1,0,281,1,5,104,2,7,33,3,48,7,10,1,1,27,305,2,19,18,4,2
3781,37.56187921,126.9286433,44.09888889,23434.92063,1,0.0,9,55.55555556,0.0,18,12,4,10,1,28,2,0,1,2,1,4,3,0,15,0,0,327,1,2,68,1,9,8,0,32,3,5,1,0,14,264,2,5,5,0,0
3782,37.55958665,126.9324542,26.90605263,15162.03008,1,0.0,76,93.42105263,15.78947368,21,4,5,6,1,31,2,3,0,0,1,4,9,0,19,0,0,158,0,0,124,2,6,18,2,34,4,5,1,3,17,172,2,7,6,0,1
3783,37.55966447,126.9301279,32.21723404,17041.2614,1,0.0,94,63.82978723,40.42553191,18,13,5,5,1,31,4,3,1,2,1,3,1,0,17,0,0,255,0,2,105,1,7,8,1,35,4,5,2,3,19,169,2,5,5,0,1
3784,37.56052209,126.9278529,28.8990566,18356.96496,1,0.056603774,53,67.9245283,33.96226415,17,16,7,9,1,34,1,1,3,2,1,4,4,0,19,0,0,366,1,2,95,1,10,9,0,33,3,5,4,0,18,246,2,5,11,0,2
3785,37.55844932,126.9292797,34.56391176,29756.30252,1,0.102941176,68,60.29411765,58.82352941,18,19,7,7,0,39,11,3,3,2,1,3,5,0,18,0,0,317,0,2,169,1,11,10,1,40,4,8,4,3,22,185,2,6,6,0,2
3786,37.55775119,126.9325184,22.51393333,25770.4,1,0.5,30,96.66666667,86.66666667,34,8,7,11,0,68,10,3,0,1,2,6,12,0,17,1,0,238,1,3,165,2,5,24,2,41,6,7,1,4,24,231,2,15,6,0,2
3787,37.55779488,126.9339915,17.99313725,18253.5014,1,0.980392157,51,82.35294118,92.15686275,35,6,8,11,0,94,5,3,0,1,2,7,14,0,19,1,0,245,1,3,158,2,5,26,2,43,7,9,1,4,29,274,3,15,7,3,2
3788,37.55856214,126.9358256,21.85571429,12551.02041,1,0.0,7,85.71428571,0.0,37,1,10,13,0,91,3,3,1,1,1,7,14,0,20,1,0,198,1,3,127,2,5,26,2,40,7,7,1,4,25,255,2,14,6,3,2
3789,37.5566189,126.9356224,14.33,11166.66667,1,0.0,6,83.33333333,0.0,40,5,12,19,0,101,9,3,1,2,2,7,14,0,24,1,0,250,1,3,161,2,5,28,3,48,7,9,1,4,29,325,1,15,7,3,4
3902,37.58238589,126.8789883,24.14392694,15472.14612,0,1.0,219,78.53881279,100.0,19,0,9,3,1,7,0,2,0,0,0,0,0,0,2,0,0,11,0,0,1,0,6,2,4,6,0,1,0,0,4,10,1,0,4,0,0
3908,37.5773355,126.89106,46.05,39500.0,0,1.0,1,100.0,0.0,28,2,10,17,0,43,2,1,1,0,3,2,1,0,7,0,0,179,1,0,71,0,7,12,1,25,11,3,1,0,26,258,1,3,10,1,0
3914,37.57449378,126.8951702,18.82956522,14054.93789,0,0.0,46,41.30434783,34.7826087,24,0,10,9,0,20,2,3,0,1,2,1,1,0,9,0,1,100,1,0,71,0,7,5,1,15,5,3,1,1,10,195,1,3,3,1,1
3918,37.585438,126.8820689,21.57644068,13365.04237,0,1.0,236,71.61016949,100.0,22,0,10,2,0,4,0,2,0,0,0,0,0,0,2,0,0,12,0,0,0,0,6,1,2,6,1,0,0,0,7,7,0,0,1,0,0
3924,37.5811712,126.8883242,20.77504149,16983.70124,0,1.0,482,77.593361,100.0,32,1,13,14,0,37,1,2,1,0,1,3,0,0,2,0,0,140,0,0,7,0,4,10,1,22,8,1,1,0,28,128,1,1,8,0,0
3927,37.5777945,126.8947757,20.77,12420.69909,0,0.0,47,80.85106383,36.17021277,22,1,10,15,0,37,2,2,0,1,2,3,1,0,7,0,0,167,1,0,72,0,7,10,1,25,8,3,1,1,25,236,1,3,7,1,0
3930,37.5763929,126.8961186,20.39894737,15591.98195,0,0.031578947,95,67.36842105,45.26315789,25,1,9,9,0,25,1,2,0,1,2,2,1,0,7,0,1,114,1,0,72,0,6,6,1,18,4,3,1,1,12,197,1,3,6,1,1
3933,37.57380088,126.9021006,33.20333333,12880.95238,0,0.0,3,100.0,0.0,25,0,6,5,0,25,0,1,0,1,1,1,0,0,5,0,1,40,0,0,5,0,6,9,3,9,1,0,0,0,7,70,1,0,1,0,1
3934,37.573224,126.9030822,44.543125,12902.67857,0,0.0,32,28.125,0.0,27,0,5,6,0,20,0,1,0,0,2,0,0,0,5,0,1,27,0,0,5,0,8,8,2,7,0,2,1,0,3,67,1,0,1,0,1
3938,37.56502518,126.903685,19.24804283,16518.76978,0,1.0,1681,72.93277811,100.0,14,0,8,8,0,11,0,1,1,1,2,1,1,0,12,0,0,76,0,0,22,0,9,4,2,24,1,3,3,0,13,150,0,6,10,1,0
3939,37.56609293,126.9060569,34.209,22613.92857,0,0.0,30,23.33333333,83.33333333,20,1,6,9,1,23,0,0,1,1,5,1,1,0,16,0,0,75,1,0,21,0,13,11,3,27,2,5,3,0,13,160,2,3,11,3,0
3940,37.56807867,126.9063517,40.08903226,12396.77419,0,0.0,31,29.03225806,6.451612903,19,1,7,10,1,28,0,1,1,0,4,1,1,0,18,0,0,60,1,0,19,0,13,13,3,24,2,5,3,0,12,147,2,2,11,1,0
3941,37.57023832,126.9051815,46.47142857,16850.20408,0,0.0,7,57.14285714,0.0,18,1,4,6,0,25,0,1,1,0,2,0,0,0,14,0,0,41,1,0,10,0,13,10,4,9,2,3,3,0,9,70,1,1,4,1,0
